holiday_date,holiday_name
2015-01-01,NYSE Holiday
2015-01-19,NYSE Holiday
2015-02-16,NYSE Holiday
2015-04-03,NYSE Holiday
2015-05-25,NYSE Holiday
2015-07-03,NYSE Holiday
2015-09-07,NYSE Holiday
2015-11-26,NYSE Holiday
2015-12-25,NYSE Holiday
2016-01-01,NYSE Holiday
2016-01-18,NYSE Holiday
2016-02-15,NYSE Holiday
2016-03-25,NYSE Holiday
2016-05-30,NYSE Holiday
2016-07-04,NYSE Holiday
2016-09-05,NYSE Holiday
2016-11-24,NYSE Holiday
2016-12-26,NYSE Holiday
2017-01-02,NYSE Holiday
2017-01-16,NYSE Holiday
2017-02-20,NYSE Holiday
2017-04-14,NYSE Holiday
2017-05-29,NYSE Holiday
2017-07-04,NYSE Holiday
2017-09-04,NYSE Holiday
2017-11-23,NYSE Holiday
2017-12-25,NYSE Holiday
2018-01-01,NYSE Holiday
2018-01-15,NYSE Holiday
2018-02-19,NYSE Holiday
2018-03-30,NYSE Holiday
2018-05-28,NYSE Holiday
2018-07-04,NYSE Holiday
2018-09-03,NYSE Holiday
2018-11-22,NYSE Holiday
2018-12-05,NYSE Holiday
2018-12-25,NYSE Holiday
2019-01-01,NYSE Holiday
2019-01-21,NYSE Holiday
2019-02-18,NYSE Holiday
2019-04-19,NYSE Holiday
2019-05-27,NYSE Holiday
2019-07-04,NYSE Holiday
2019-09-02,NYSE Holiday
2019-11-28,NYSE Holiday
2019-12-25,NYSE Holiday
2020-01-01,NYSE Holiday
2020-01-20,NYSE Holiday
2020-02-17,NYSE Holiday
2020-04-10,NYSE Holiday
2020-05-25,NYSE Holiday
2020-07-03,NYSE Holiday
2020-09-07,NYSE Holiday
2020-11-26,NYSE Holiday
2020-12-25,NYSE Holiday
2021-01-01,NYSE Holiday
2021-01-18,NYSE Holiday
2021-02-15,NYSE Holiday
2021-04-02,NYSE Holiday
2021-05-31,NYSE Holiday
2021-07-05,NYSE Holiday
2021-09-06,NYSE Holiday
2021-11-25,NYSE Holiday
2021-12-24,NYSE Holiday
2022-01-17,NYSE Holiday
2022-02-21,NYSE Holiday
2022-04-15,NYSE Holiday
2022-05-30,NYSE Holiday
2022-06-20,NYSE Holiday
2022-07-04,NYSE Holiday
2022-09-05,NYSE Holiday
2022-11-24,NYSE Holiday
2022-12-26,NYSE Holiday
2023-01-02,NYSE Holiday
2023-01-16,NYSE Holiday
2023-02-20,NYSE Holiday
2023-04-07,NYSE Holiday
2023-05-29,NYSE Holiday
2023-06-19,NYSE Holiday
2023-07-04,NYSE Holiday
2023-09-04,NYSE Holiday
2023-11-23,NYSE Holiday
2023-12-25,NYSE Holiday
2024-01-01,NYSE Holiday
2024-01-15,NYSE Holiday
2024-02-19,NYSE Holiday
2024-03-29,NYSE Holiday
2024-05-27,NYSE Holiday
2024-06-19,NYSE Holiday
2024-07-04,NYSE Holiday
2024-09-02,NYSE Holiday
2024-11-28,NYSE Holiday
2024-12-25,NYSE Holiday
2025-01-01,NYSE Holiday
2025-01-09,NYSE Holiday
2025-01-20,NYSE Holiday
2025-02-17,NYSE Holiday
2025-04-18,NYSE Holiday
2025-05-26,NYSE Holiday
2025-06-19,NYSE Holiday
2025-07-04,NYSE Holiday
2025-09-01,NYSE Holiday
2025-11-27,NYSE Holiday
2025-12-25,NYSE Holiday
2026-01-01,NYSE Holiday
2026-01-19,NYSE Holiday
2026-02-16,NYSE Holiday
2026-04-03,NYSE Holiday
2026-05-25,NYSE Holiday
2026-06-19,NYSE Holiday
2026-07-03,NYSE Holiday
2026-09-07,NYSE Holiday
2026-11-26,NYSE Holiday
2026-12-25,NYSE Holiday
2027-01-01,NYSE Holiday
2027-01-18,NYSE Holiday
2027-02-15,NYSE Holiday
2027-03-26,NYSE Holiday
2027-05-31,NYSE Holiday
2027-06-18,NYSE Holiday
2027-07-05,NYSE Holiday
2027-09-06,NYSE Holiday
2027-11-25,NYSE Holiday
2027-12-24,NYSE Holiday
2028-01-17,NYSE Holiday
2028-02-21,NYSE Holiday
2028-04-14,NYSE Holiday
2028-05-29,NYSE Holiday
2028-06-19,NYSE Holiday
2028-07-04,NYSE Holiday
2028-09-04,NYSE Holiday
2028-11-23,NYSE Holiday
2028-12-25,NYSE Holiday
2029-01-01,NYSE Holiday
2029-01-15,NYSE Holiday
2029-02-19,NYSE Holiday
2029-03-30,NYSE Holiday
2029-05-28,NYSE Holiday
2029-06-19,NYSE Holiday
2029-07-04,NYSE Holiday
2029-09-03,NYSE Holiday
2029-11-22,NYSE Holiday
2029-12-25,NYSE Holiday
2030-01-01,NYSE Holiday
2030-01-21,NYSE Holiday
2030-02-18,NYSE Holiday
2030-04-19,NYSE Holiday
2030-05-27,NYSE Holiday
2030-06-19,NYSE Holiday
2030-07-04,NYSE Holiday
2030-09-02,NYSE Holiday
2030-11-28,NYSE Holiday
2030-12-25,NYSE Holiday
